compound_id,target_id,pubmed_id,standard_value,standard_units
CHEMBL1421,Q07912,19039322,1.1,NM
CHEMBL103667,Q15303,22037378,10000,NM
CHEMBL1421,Q96D53,22037378,10000,NM
CHEMBL939,Q00537,22037378,10000,NM
CHEMBL10,P29317,22037378,10000,NM
CHEMBL1336,P43403,22037378,10000,NM
CHEMBL103667,P51451,22014550,30000,NM
CHEMBL10,Q9NYL2,22037378,4400,NM
CHEMBL103667,Q02763,22014550,25,NM
CHEMBL10,P19784,22037378,10000,NM
CHEMBL1421,Q9BZL6,21336281,10000,NM
CHEMBL1421,P14616,22037378,10000,NM
CHEMBL10,Q9Y6M4,21336281,6309,NM
CHEMBL1336,Q14164,22037378,10000,NM
CHEMBL1421,Q8NFD2,22037378,10000,NM
CHEMBL103667,P24723,22014550,30000,NM
CHEMBL939,P00533,22037378,1.4,NM
CHEMBL10,Q9UPZ9,22037378,10000,NM
CHEMBL10,P51957,21336281,6309,NM
CHEMBL1336,P49761,22037378,10000,NM
CHEMBL103667,Q8N5S9,22037378,10000,NM
CHEMBL939,Q9BWU1,22037378,10000,NM
CHEMBL1336,P21802,22037378,2700,NM
CHEMBL1421,Q13153,21336281,10000,NM
CHEMBL103667,O75716,22037378,10000,NM
CHEMBL103667,P49674,22037378,10000,NM
CHEMBL10,P15056,22037378,530,NM
CHEMBL103667,Q16644,22014550,30000,NM
CHEMBL939,Q13557,21336281,2511,NM
CHEMBL103667,P37173,22037378,10000,NM
CHEMBL10,Q86Z02,22037378,10000,NM
CHEMBL1421,P04049,19039322,164,NM
CHEMBL10,P51817,22037378,10000,NM
CHEMBL939,O75460,22037378,10000,NM
CHEMBL103667,P17948,22037378,410,NM
CHEMBL103667,P00533,22014550,3800,NM
CHEMBL1336,P61075,22037378,10000,NM
CHEMBL10,P62344,22037378,850,NM
CHEMBL1421,P08922,21336281,2511,NM
CHEMBL103667,P17612,22037378,10000,NM
CHEMBL939,Q12851,21336281,5011,NM
CHEMBL103667,Q9Y5S2,22037378,910,NM
CHEMBL10,Q9HCP0,22037378,10000,NM
CHEMBL10,Q9UQM7,21336281,3981,NM
CHEMBL103667,Q8N4C8,22037378,310,NM
CHEMBL1421,Q13163,22037378,3.3,NM
CHEMBL10,Q8TD08,22037378,10000,NM
CHEMBL103667,Q16566,22037378,10000,NM
CHEMBL10,Q16620,21336281,3981,NM
CHEMBL103667,P53779,21336281,39,NM
CHEMBL103667,P80192,22037378,10000,NM
CHEMBL10,P61075,22037378,10000,NM
CHEMBL1421,Q13237,22037378,10000,NM
CHEMBL1421,P08631,22037378,0.35,NM
CHEMBL10,P11362,21336281,3981,NM
CHEMBL103667,Q13557,22037378,10000,NM
CHEMBL939,P51812,21336281,3981,NM
CHEMBL1421,Q9NWZ3,22037378,10000,NM
CHEMBL939,P49840,22037378,10000,NM
CHEMBL103667,P14616,22037378,10000,NM
CHEMBL939,Q00526,22037378,10000,NM
CHEMBL10,P52333,22037378,10000,NM
CHEMBL1421,P48730,22037378,10000,NM
CHEMBL939,Q16566,22037378,10000,NM
CHEMBL10,O95819,21336281,398,NM
CHEMBL103667,Q16659,22037378,10000,NM
CHEMBL103667,P23443,21336281,6309,NM
CHEMBL1421,P42681,22037378,2.1,NM
CHEMBL103667,P27361,22014550,30000,NM
CHEMBL1336,Q00526,22037378,3800,NM
CHEMBL103667,P36888,22037378,3000,NM
CHEMBL10,O60674,21336281,2511,NM
CHEMBL1421,Q8IYT8,22037378,10000,NM
CHEMBL10,P29597,22037378,2000,NM
CHEMBL1336,P43405,22037378,10000,NM
CHEMBL103667,Q6XUX3,22037378,10000,NM
CHEMBL1336,P22607,22037378,5900,NM
CHEMBL939,Q13976,22037378,10000,NM
CHEMBL1421,Q8TDC3,21336281,10000,NM
CHEMBL939,P36888,22037378,5100,NM
CHEMBL939,P0C264,22037378,10000,NM
CHEMBL1336,Q99640,22037378,10000,NM
CHEMBL939,P51817,22037378,10000,NM
CHEMBL1336,P36896,22037378,10000,NM
CHEMBL939,Q16620,22037378,10000,NM
CHEMBL1421,O75747,22037378,10000,NM
CHEMBL103667,Q99640,22037378,10000,NM
CHEMBL1336,Q13627,21336281,1995,NM
CHEMBL103667,Q9UIK4,22037378,10000,NM
CHEMBL10,P21802,22037378,10000,NM
CHEMBL939,P24941,22037378,10000,NM
CHEMBL10,Q16659,22037378,10000,NM
CHEMBL10,P31749,22037378,10000,NM
CHEMBL1336,P07333,21336281,158,NM
CHEMBL10,P33981,22037378,2500,NM
CHEMBL939,Q13043,22037378,10000,NM
CHEMBL1336,Q7KZI7,21336281,7943,NM
CHEMBL1421,Q05397,22037378,10000,NM
CHEMBL1336,Q96Q40,22037378,2900,NM
CHEMBL103667,Q6DT37,22037378,1200,NM
CHEMBL10,P41743,22037378,10000,NM
CHEMBL939,Q07002,22037378,10000,NM
CHEMBL1421,Q9Y4K4,22037378,45,NM
CHEMBL939,Q9UIK4,22037378,10000,NM
CHEMBL103667,P51955,21336281,5011,NM
CHEMBL10,Q9NQU5,22037378,10000,NM
CHEMBL10,Q16620,22037378,10000,NM
CHEMBL10,Q9Y2K2,22037378,3900,NM
CHEMBL10,P11362,22037378,10000,NM
CHEMBL1421,P29323,19039322,4.4,NM
CHEMBL939,P06493,21336281,7943,NM
CHEMBL10,Q05655,21336281,7943,NM
CHEMBL1336,P45984,21336281,3981,NM
CHEMBL10,P00533,22037378,2500,NM
CHEMBL1336,P54760,22037378,1800,NM
CHEMBL1421,O94806,22037378,10000,NM
CHEMBL10,Q6ZN16,22037378,10000,NM
CHEMBL1336,P68400,22037378,10000,NM
CHEMBL10,Q9NRM7,22037378,10000,NM
CHEMBL103667,P29317,21336281,7943,NM
CHEMBL1336,O76039,22037378,10000,NM
CHEMBL939,O14733,22037378,10000,NM
CHEMBL1336,Q9BZL6,21336281,10000,NM
CHEMBL939,P00533,-1,4,NM
CHEMBL939,P49674,22037378,430,NM
CHEMBL10,P35590,22037378,10000,NM
CHEMBL1421,Q96NX5,22037378,10000,NM
CHEMBL103667,O60674,21336281,2511,NM
CHEMBL103667,Q07912,21336281,3162,NM
CHEMBL1336,Q9NYL2,22037378,6.3,NM
CHEMBL939,P36897,22037378,10000,NM
CHEMBL939,Q16832,22037378,10000,NM
CHEMBL939,Q8TD08,22037378,10000,NM
CHEMBL1421,P06493,21336281,7943,NM
CHEMBL103667,Q15746,22037378,10000,NM
CHEMBL103667,P45984,22014550,10,NM
CHEMBL103667,P54756,22014550,90,NM
CHEMBL10,P31751,22037378,10000,NM
CHEMBL1336,Q9UKE5,22037378,7900,NM
CHEMBL103667,P30530,22014550,30000,NM
CHEMBL939,P35968,17416531,10000,NM
CHEMBL103667,P41743,22037378,10000,NM
CHEMBL1421,P49840,22037378,10000,NM
CHEMBL10,O96017,22037378,10000,NM
CHEMBL1336,O14730,22037378,10000,NM
CHEMBL103667,P36896,22037378,10000,NM
CHEMBL1421,O14733,22037378,10000,NM
CHEMBL1336,P42345,18849971,50000,NM
CHEMBL1421,Q8N5S9,22037378,10000,NM
CHEMBL1336,P00519,18849971,120,NM
CHEMBL1421,Q13705,22037378,570,NM
CHEMBL1421,P24941,22037378,10000,NM
CHEMBL10,O43781,21336281,6309,NM
CHEMBL939,P49841,21336281,6309,NM
CHEMBL1421,Q06418,21336281,1258,NM
CHEMBL10,Q08345,22037378,1000,NM
CHEMBL1421,Q16539,22037378,27,NM
CHEMBL1421,O76039,22037378,10000,NM
CHEMBL103667,P54764,22037378,2900,NM
CHEMBL10,P29597,22037378,10000,NM
CHEMBL10,P78368,21336281,7943,NM
CHEMBL103667,Q9UQB9,22037378,10000,NM
CHEMBL103667,O75385,22037378,10000,NM
CHEMBL1421,P16234,21336281,10,NM
CHEMBL1336,Q8IW41,21336281,1584,NM
CHEMBL103667,Q05397,22037378,7100,NM
CHEMBL10,P22607,21336281,1995,NM
CHEMBL103667,O14936,22037378,10000,NM
CHEMBL1336,Q8TDR2,22037378,10000,NM
CHEMBL103667,Q86UX6,22037378,10000,NM
CHEMBL1336,P51813,22037378,10000,NM
CHEMBL10,O96013,22037378,10000,NM
CHEMBL10,Q8NEV4,22037378,10000,NM
CHEMBL103667,Q5S007,21336281,2511,NM
CHEMBL1421,P53667,21336281,251,NM
CHEMBL939,Q9NYL2,21336281,7943,NM
CHEMBL1336,P12931,18849971,390,NM
CHEMBL1336,Q13464,22037378,10000,NM
CHEMBL1336,P50613,22037378,140,NM
CHEMBL103667,Q13177,22014550,30000,NM
CHEMBL1421,Q12851,21336281,1584,NM
CHEMBL103667,P30530,22037378,10000,NM
CHEMBL939,O15264,22037378,10000,NM
CHEMBL103667,O43283,22037378,10000,NM
CHEMBL1421,P35968,21336281,1258,NM
CHEMBL939,Q13233,22037378,10000,NM
CHEMBL1421,P07332,21336281,1995,NM
CHEMBL1421,O14936,22037378,10000,NM
CHEMBL103667,P10721,22037378,170,NM
CHEMBL939,Q9H1R3,22037378,1900,NM
CHEMBL1421,Q86V86,22037378,10000,NM
CHEMBL10,P00519,22037378,10000,NM
CHEMBL10,P78368,22037378,10000,NM
CHEMBL939,Q00536,22037378,10000,NM
CHEMBL10,Q96GD4,22037378,10000,NM
CHEMBL1421,P30291,22037378,7000,NM
CHEMBL10,Q9P2K8,22037378,10000,NM
CHEMBL103667,P54753,22014550,9400,NM
CHEMBL103667,Q9Y243,21336281,10000,NM
CHEMBL10,Q14164,21336281,3162,NM
CHEMBL10,P04629,21336281,2511,NM
CHEMBL10,Q13557,22037378,10000,NM
CHEMBL939,O94921,22037378,10000,NM
CHEMBL10,Q9NRP7,22037378,1300,NM
CHEMBL103667,Q14680,21336281,1995,NM
CHEMBL1336,O95819,22037378,4800,NM
CHEMBL1336,P51451,21336281,794,NM
CHEMBL1421,P00533,22037378,170,NM
