time	konc	oxygen
0	0.0	42.8
20	0.0	39.8
40	0.0	36.7
60	0.0	33.7
80	0.0	30.7
100	0.0	27.8
120	0.0	24.9
140	0.0	22.1
160	0.0	19.4
180	0.0	16.8
200	0.0	14.2
220	0.0	11.6
240	0.0	9.3
260	0.0	7.1
0	0.1	81.9
20	0.1	80.6
40	0.1	79.4
60	0.1	78.2
80	0.1	77
100	0.1	75.7
120	0.1	74.2
140	0.1	72.8
160	0.1	71.3
180	0.1	69.9
200	0.1	68.2
220	0.1	66.6
240	0.1	64.9
260	0.1	63
0	0.2	93.8
20	0.2	93.5
40	0.2	93.2
60	0.2	92.8
80	0.2	92.5
100	0.2	92.4
120	0.2	92
140	0.2	91.8
160	0.2	91.4
180	0.2	91.2
200	0.2	90.8
220	0.2	90.6
240	0.2	90.4
260	0.2	90.1
